STD_YYYYMM,SIDO,비염환자수,심근경색,아토피환자수,천식환자수,뇌졸증
202004,광주광역시,30511,203.0,4328,3874,414.0
202005,광주광역시,41725,199.0,4999,4496,470.0
202006,광주광역시,31812,205.0,4917,4056,419.0
202007,광주광역시,23830,174.0,4430,3246,431.0
202008,광주광역시,26315,185.0,5201,3075,398.0
202009,광주광역시,47745,190.0,4656,4068,449.0
202011,광주광역시,46684,153.0,3773,4680,368.0
202012,광주광역시,27508,154.0,3930,3648,387.0
202101,광주광역시,21520,183.0,3763,2808,410.0
202102,광주광역시,24056,193.0,3728,2725,424.0
202103,광주광역시,48644,195.0,4235,4170,425.0
202104,광주광역시,44701,157.0,4373,4131,416.0
202105,광주광역시,29940,209.0,4110,3375,449.0
202106,광주광역시,28855,209.0,4751,3178,408.0
202107,광주광역시,27497,180.0,4975,2696,423.0
202108,광주광역시,26501,188.0,4606,2648,396.0
202109,광주광역시,56470,167.0,4363,4699,366.0
202111,광주광역시,60333,160.0,3811,5190,400.0
202112,광주광역시,37873,146.0,3886,4552,381.0
201401,대전광역시,73555,106.0,5205,9332,408.0
201402,대전광역시,95416,101.0,5197,12283,359.0
201403,대전광역시,72663,87.0,5403,11542,400.0
201404,대전광역시,72243,90.0,5889,13164,399.0
201405,대전광역시,55485,92.0,6428,9204,424.0
201406,대전광역시,39113,92.0,5438,6961,420.0
201407,대전광역시,44402,88.0,6193,6778,418.0
201408,대전광역시,53896,92.0,5777,7588,409.0
201409,대전광역시,92918,108.0,5489,11370,373.0
201411,대전광역시,85787,111.0,4648,13548,403.0
201412,대전광역시,73743,130.0,4947,11161,430.0
201501,대전광역시,63564,96.0,5118,8933,383.0
201502,대전광역시,70047,90.0,5011,9364,355.0
201503,대전광역시,89397,117.0,5716,11140,349.0
201504,대전광역시,74708,108.0,5246,10982,396.0
201505,대전광역시,56178,108.0,6174,8803,394.0
201506,대전광역시,33175,68.0,4302,4779,254.0
201507,대전광역시,37041,95.0,5656,5173,384.0
201508,대전광역시,50971,97.0,5654,7802,363.0
201509,대전광역시,96797,108.0,4617,11620,362.0
201511,대전광역시,71442,98.0,3955,11638,374.0
201512,대전광역시,85437,99.0,4941,13795,343.0
201601,대전광역시,75159,88.0,5100,9437,373.0
201602,대전광역시,75763,98.0,4806,10599,350.0
201603,대전광역시,78867,75.0,5361,11069,355.0
201604,대전광역시,69255,100.0,5122,10489,341.0
201605,대전광역시,55724,96.0,5987,8790,405.0
201606,대전광역시,42065,107.0,5362,6428,393.0
201607,대전광역시,43855,95.0,5812,6040,366.0
201608,대전광역시,51572,104.0,5909,6646,341.0
201609,대전광역시,83316,80.0,4566,9456,361.0
201611,대전광역시,82200,100.0,5068,12190,354.0
201612,대전광역시,99692,111.0,5045,12423,362.0
201701,대전광역시,57954,106.0,5080,7677,406.0
201702,대전광역시,59879,94.0,5221,7494,335.0
201703,대전광역시,84086,112.0,5679,9459,411.0
201704,대전광역시,80877,131.0,5430,9514,419.0
201705,대전광역시,58837,108.0,6262,7909,387.0
201706,대전광역시,45103,115.0,5612,5876,409.0
201707,대전광역시,40242,110.0,6145,5248,361.0
201708,대전광역시,56801,93.0,5936,5486,442.0
201709,대전광역시,91070,113.0,5327,7907,426.0
201711,대전광역시,86742,104.0,5053,10112,376.0
201712,대전광역시,96288,117.0,4590,9613,405.0
201801,대전광역시,86924,117.0,5307,8654,469.0
201802,대전광역시,56996,95.0,5046,6613,383.0
201803,대전광역시,74747,118.0,5372,8558,384.0
201804,대전광역시,81973,116.0,5870,10355,392.0
201805,대전광역시,57098,117.0,6200,8461,423.0
201806,대전광역시,42199,101.0,5933,6022,401.0
201807,대전광역시,39442,118.0,6146,5038,389.0
201808,대전광역시,42928,102.0,5524,5297,363.0
201809,대전광역시,86826,102.0,4867,8467,394.0
201811,대전광역시,80095,111.0,4901,10437,369.0
201812,대전광역시,88135,124.0,5103,10125,405.0
201901,대전광역시,59179,113.0,5560,6972,397.0
201902,대전광역시,52505,110.0,5171,5759,356.0
201903,대전광역시,74622,129.0,5750,7543,446.0
201904,대전광역시,81356,118.0,5971,8883,373.0
201905,대전광역시,62134,110.0,7009,8508,420.0
201906,대전광역시,41138,116.0,5630,5677,389.0
201907,대전광역시,43807,116.0,6368,5182,389.0
201908,대전광역시,46079,120.0,6230,5224,387.0
201909,대전광역시,83643,109.0,5472,7608,380.0
201911,대전광역시,73990,102.0,5277,8567,404.0
201912,대전광역시,82257,118.0,5367,8923,429.0
202001,대전광역시,78353,132.0,5276,7452,377.0
202002,대전광역시,45576,120.0,4835,5133,357.0
202003,대전광역시,27960,101.0,5363,3402,316.0
202004,대전광역시,28528,98.0,6037,3085,372.0
202005,대전광역시,41978,120.0,6731,3686,376.0
202006,대전광역시,34699,101.0,6287,3207,386.0
202007,대전광역시,25662,103.0,5495,2578,386.0
202008,대전광역시,33056,99.0,6723,2846,354.0
202009,대전광역시,52603,79.0,5887,3962,374.0
202011,대전광역시,44848,106.0,5303,4199,384.0
202012,대전광역시,32197,99.0,5518,3077,335.0
202101,대전광역시,24473,112.0,5343,2506,338.0
202102,대전광역시,27817,88.0,5149,2471,345.0
